term
丁奚
七情
七情久郁
七情久郁化火
七情内伤
七情内郁
七情所伤
七情郁结
七星针疗法
七画
三制宜
三叉神经痛
三寸
三度
三日疟
三期
三棱针疗法
三焦
三焦不利所致
三焦决渎失利
三焦壅塞证
三焦壅滞证
三焦实热证
三焦所致
三焦气化不利
三焦气化失司
三焦湿热
三焦湿热证
三焦积热证
三焦类术语
三焦虚寒证
三画
三里发
三阳病传经入
三阳经络
三阳经风火凝
上下无时
上充
上冲咽喉
上冲心肺
上冲攻心所致
上冲犯肺所致
上凌冲心所致
上凌心肺所致
上凌清空所致
上升
上即有粟粒样
上受犯肺所致
上吐
上吐下泻
上壅
上壅于目所致
上壅于肺所致
上壅于脑
上壅清空所致
上壅清窍所致
上壅胞睑
上壅胞睑所致
上壅鼻窍所致
上安置艾炷
上实下虚证
上寒下热证
上导入脉冲电
上射于肺所致
上扰头目所致
上扰心神所致
上扰心肺所致
上扰所致
上扰清空
上扰清空所致
上扰清窍
上扰白睛所致
上扰目窍
上攻于目
上攻于目所致
上攻于耳所致
上攻冲心
上攻咽喉所致
上攻喉关所致
上攻喉核
上攻喉核所致
上攻壅滞于风
上攻壅聚于头
上攻壅聚咽喉
上攻壅聚耳窍
上攻壅聚舌体
上攻壅聚鼻窍
上攻壅聚齿龈
上攻头咽胸膈
上攻头巅
上攻头目
上攻头面
上攻头面下注
上攻头面所致
上攻官窍
上攻官窍脏腑
上攻所致
上攻清窍
上攻清窍所致
上攻牙龈
上攻目眦所致
上攻目窍所致
上攻目系所致
上攻胞睑
上攻胞睑所致
上攻黑睛所致
上施拇指指腹
上施灸
上有糠秕状脱
上有鳞屑
上气
上气不足
上气不足奉养
上气不足衰败
上气不足证
上泛
上泛耳窍所致
上海
上海师范大学
上海科学技术
上消
上濡清空所致
上火罐
上灼牙龈所致
上热下寒证
上焦温热证
上焦湿热证
上焦燥热
上焦燥热证
上焦证
上焦证类
上熏于口腔黏
上熏口舌所致
上熏鼻窍所致
上犯于脑
上犯唇部所致
上犯巅顶
上犯清空
上犯清空所致
上犯清窍所致
上犯耳窍所致
上生成大小不
上盛下虚证
上睑下垂
上石疽
上窜胆膈所致
上肢乏力麻木
上肢活动不利
上胞下垂
上腭痈
上腭红肿高突
上腹部烧灼感
上腹部疼痛
上腹部阵发性
上蒙心神
上蒙心神所致
上蒙心窍
上蒙心窍所致
上蒙清空
上蒙清空所致
上蒙清窍所致
上蒸口唇所致
上蒸外发
上蒸牙龈
上蒸齿龈所致
上虚下实证
上覆白色腐膜
上起丘疹
上迫于肺
上迫于肺所致
上逆
上逆所致
上逆犯肺
上逼白睛所致
上阻清空所致
下不停地有节
下也甚少
下亦甚少
下元不固
下元不固所致
下元虚冷
下元虚冷证
下元虚寒证
下利
下利如注
下利清谷
下利稀薄
下利脓血
下利赤白
下利黏冻
下唇肿胀
下垂则加重
下增多
下寒上热证
下延伸
下所致
下时
下气平喘
下泄
下法
下注
下注于精室所
下注于踝部所
下注所致
下注肝经
下注膀胱
下注阴囊所致
下泻
下消
下涉肠道
下热上寒证
下焦
下焦不固所致
下焦所致
下焦气机不利
下焦温热证
下焦湿热
下焦湿热证
下焦热盛证
下焦热结证
下焦瘀滞证
下焦蓄血证
下焦虚冷证
下焦虚寒证
下焦证类
下焦阴寒内蕴
下疳
下病
下病证
下痢
下痢时作时止
下痢脓血
下痢赤白
下痢轻微
下痢频繁
下睑外翻
下石疽
下移大肠
下移小肠所致
下端束于髂骨
下纤维组织
下肢
下肢丹毒
下肢先肿
下肢全身浮肿
下肢受寒
下肢困重
下肢增粗变硬
下肢尤甚
下肢微肿
下肢感觉异常
下肢按之凹陷
下肢放射痛
下肢无力
下肢水肿
下肢水肿明显
下肢浮肿
下肢渐进性无
下肢溃疡
下肢疮疡溃烂
下肢痉挛
下肢痿软无力
下肢皮肤紧张
下肢皮肤红如
下肢皮肤红肿
下肢肌肉萎缩
下肢肿胀
下肢肿胀日久
下肢进行性麻
下肢酸楚
下肢麻痹
下胸膈所致
下腹胸胁硬满
下腹部有包块
下蔓延
下血
下蹲也会脱出
下蹲时直肠黏
下部
下部血脉空虚
下闭水道所致
下阻冲任所致
下降
下陷
下静脉曲张形
下颌下垂
下颌部遭受外
不久
不乳
不仁
不伴性梦而无
不全
不出血
不分昼夜
不利
不利所致
不到
不化
不化所致
不变
不变大
不可屈伸
不同
不哭
不善交流
不多饮
不孕
不安
不寐
不寐病
不射精
不尽
不已
不当
不得举动
不得俯仰
不得发越
不得吞咽
不得外泄
不得外泄所致
不得宣散透发
不得平卧
不得眠
不得自主运动
不得转侧
不得转侧俯仰
不得进食
不思乳食
不思饮食
不性交而精液
不恶寒
不恶寒微恶风
不恶风
不愈
不愈所致
不愿起坐翻身
不慎咽下
不振
不排精
不收
不时惊惕
不易入睡
不易剥脱
不易咯出
不易咳出
不易愈合
不易收口
不易敛口
不松动
不欲多食
不欲多饮
不欲盖衣被
不欲食
不欲饮
不欲饮食
不止
不正
不汗出
不洁性交
不洁性交感染
不洁性交月经
不洁污染食物
不消
不清
不渴
不灵
不热
不生须
不畅
不畅所导致
不畅所致
不痒
不痛
不痛不痒
不痛剧痛
不痛用力
不相接续
不省人事
不真不闻声音
不眠
不知人
不知痛痒
不知羞耻
不移
不红
不红不热
不红不热不痛
不红不痛
不耐劳作
不耐劳烦
不耐烦劳
不耐疲劳
不育
不育病
不育类病
不胀
不能上济于心
不能上荣于耳
不能上荣于鼻
不能上荣水轮
不能上荣目窍
不能上荣颜面
不能下交于肾
不能久立
不能制阳
不能化气行水
不能升运于目
不能受纳腐熟
不能咀嚼
不能回复
不能回纳
不能回纳肛门
不能平卧
不能控制
不能插入阴道
不能摄纳所致
不能收摄
不能正常活动
不能润养肌肤
不能涵养心神
不能生乳
不能用手捏起
不能着地走路
不能站立
不能统摄血行
不能自主
不能自动回纳
不能自已
不能自控
不能自止
不能自然睁开
不能自理
不能自行产出
不能自行复位
不能荣养筋脉
不能行动
不能言语
不能起坐
不能载胎
不能输精濡养
不能进食
不能透达于外
不能通调水道
不能释怀
不能随意活动
不能随意运动
不自主地流出
不良体位
不良生活习惯
不良饮食习惯
不规则抽动
不语
不足
不足所致
不足虚损所致
不连缀
不退
不适
不透
不避亲疏
不醒人事
不闻香臭
不食
不食则饥
不饥
不高出皮肤
专有手法
专门手法
且有压痛感
且黄仁干枯不
丘疱疹
丘疱疹频发
丘疹
丘疹疱疹
丘疹痛痒
丛针
丝绵纸拷贝纸
丝虫
丝虫病
丝虫病复发性
两个上脏腑病
两个疾病名
两伤
两感伤寒证
两感证类
两手握固
两手握紧
两手食
两目上视
两目凝视
两目干涩
两目斜视直视
两目焮红肿痛
两眦
两眦赤脉淡红
两眦赤脉粗大
两眼干涩
两眼沙涩灼热
两经
两经同时感受
两经所致
两胁不舒
两胁刺痛
两胁灼痛
两胁胀痛
两胁胀痛刺痛
两胁胀痛灼痛
两胁胀闷
两胁闷胀
两胁闷胀痛
两胁闷胀隐痛
两胁隐痛
两臂不举
两颞头痛
两颞尤甚
两颧凹陷
两颧暗红
两颧淡红如妆
两颧潮红
两颧红赤
两颧鲜红
严世芸
严重伤损阴液
严重冻伤
严重者伴见呼
严重者可渐延
严重脱位
个临时诊断用
个原归属部分
个周期上
个大类
个性
个月
个月上
个月不规则少
个月后胎水过
个术语
个治法术语类
个淡黄色
个类目词
个部分
丫痈
丰厚处
临事胆怯
临产前分娩早
临产后胎儿娩
临产时
临时诊断用术
丹毒
丹毒上攻颜面
丹熛
丹痧
丹痧密布
主侵袭人体肌
主侵袭肌表
主升发
主升清
主四肢
主地向左右上
主宣发
主封藏
主所致
主气
主水
主纳气
主统血
主血海
主要内容
主要手法
主要技术内容
主谋虑
主运化
举止乖常
举止失常
举而不坚
举而弯曲
乃至经闭不行
乃至腰弯
乃至谵妄
久不愈合
久不收口
久不收口而成
久不敛口
久久不痿
久久难平
久之脾肾亏虚
久之裹结成石
久则不嗅香臭
